No,Nama Kos,Kamar mandi,Kasur,Lemari baju,AC,Parkiran,Wifi ,Harga,Jarak,patokan,alamat,Luas Kamar
39,Kost Moneter Tipe A Palmerah Jakarta Barat,1,1,1,1,motor,1,1300000,dekat,binus,palmerah,7
40,Kost Binus Pondok Bundo Azwar Palmerah Jakarta Barat,1,1,1,2,motor,1,1100000,dekat,binus,palmerah,7
41,Kost Biru Tipe A Palmerah Jakarta Barat,1,2,2,2,motor,2,625000,sedang,binus,palmerah,5
42,Kost Migas IV/59 Palmerah Jakarta Barat,0,2,1,2,motor,2,1900000,sedang,binus,palmerah,9
43,Kost Taisir Palmerah Jakarta Barat,1,1,1,1,motor,1,1605000,sedang,binus,palmerah,9
44,Kost Wisma Pendawa Lima Palmerah Jakarta Barat,1,1,1,1,motor,1,2100000,sedang,binus,palmerah,9
45,Kost 55 Tipe D Palmerah Jakarta Barat,0,1,1,2,motor,1,950000,sedang,binus,palmerah,5
46,Kost Muslimah Griya Annisa Palmerah Jakarta Barat,1,1,1,2,motor,2,900000,sedang,binus,palmerah,5
47,Kost Binus Kijang Palmerah Jakarta Barat,1,1,1,1,motor,2,1500000,sedang,binus,palmerah,7
48,Kost Putri Palmerah Jakarta Barat,0,1,1,2,motor,2,750000,sedang,binus,palmerah,5
49,Kost Rosliana Kemanggisan Tipe A Palmerah Jakarta Barat,0,1,1,1,motor,2,800000,sedang,binus,palmerah,5
50,Kost Gorlen Indah Palmerah Jakarta Barat,1,2,1,1,motor,2,1700000,sedang,binus,palmerah,7
51,Kost Ibu Irma Palmerah Jakarta Barat,0,1,1,1,motor,2,1400000,sedang,binus,palmerah,7
52,Kost Kemanggisan Ilir 49 Tipe A Palmerah Jakarta Barat,1,1,1,1,motor,2,1500000,sedang,binus,kecamatan palmerah,7
